Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a1932;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Farlow et al. 1991;7.9;19;;0.277777778;0.3125
a1933;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Farlow et al. 1991;7.4;14;;0.25;0.294117647
a1934;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6;13;4.6;;0.333333333
a1935;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.9;12.7;3.4;0.25;0.294117647
a1936;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.3;;3.6;;0.285714286
a1937;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.7;;3.2;;0.266666667
a1938;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.2;12;3.1;;
a1939;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.4;10.8;3.6;0.238095238;0.303030303
a1940;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.8;8.2;2.6;0.23255814;0.277777778
a1941;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.2;;2.6;0.23255814;0.263157895
a1942;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.2;;3.3;0.163934426;0.204081633
a1943;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5;7.4;2.7;0.204081633;0.263157895
a1944;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;8.8;;4.2;0.243902439;0.243902439
a1945;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.7;11.6;3.7;0.25;0.294117647
a1946;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;3.8;8.2;2;0.181818182;0.25
a1947;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;6;;2.9;0.277777778;0.263157895
a1948;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.8;;3.5;0.294117647;0.322580645
a1949;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.5;9.2;3.4;;0.303030303
a1950;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.1;10.8;4;0.303030303;0.344827586
a1951;pDinosaur Park Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.2;13;4.6;;
a1952;pDinosaur Park Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.2;;3.6;;0.285714286
a1953;pDinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;pDinosaur Park;Farlow et al. 1991;7.1;;3.5;0.166666667;0.2
a1954;pDinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.4541;8.5446;2.3634;0.163934426;0.27027027
a1955;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.2;8.2;2.2;0;0.235294118
a1956;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;3.5;7.5;1.9;;0.235294118
a1957;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;4.1;9.5;2.6;;0.222222222
a1958;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;4.1;9.5;2.4;;0.25
a1959;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.3;11.8;2.5;;0.210526316
a1960;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.7;11.2;2.4;;0.222222222
a1961;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.3;14.2;2.4;;0.25
a1962;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;5.1;;2.2;;0.285714286
a1963;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;4.8;;2;;0.2
a1964;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.8;7.7;2.3;0.163934426;0.238095238
a1965;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.1;11;2.8;0.101010101;0.27027027
a1966;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.6;7.8;2;0.11627907;0.227272727
a1967;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.1;;2.5;0.083333333;0.227272727
a1968;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.75;8;2.2;0.192307692;0.23255814
a1969;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.3;6.1;2;0.138888889;0.25
a1970;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;6;10.4;3;0.125;0.25
a1971;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.1;;2.8;0.188679245;0.285714286
a1972;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;3.7;;2.1;0;0.27027027
a1973;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;;;2.3;0.144927536;0.25
a1974;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.2;10.1;2.5;0.188679245;0.27027027
a1975;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.7;8.8;2.3;0.166666667;0.256410256
a1976;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.7;9.8;2.2;0.175438596;0.27027027
a1977;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.9;7.7;2.3;0.212765957;0.25
a1978;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.5;;2.85;;0.217391304
a1979;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.1;11;2.65;0.204081633;0.243902439
a1980;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.35;7.1;2.1;0.158730159;0.27027027
a1981;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.8;10.6;2.4;0.142857143;0.243902439
a1982;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.9;9.2;2.4;0.142857143;0.222222222
a1983;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;;9;;0.151515152;0.238095238
a1984;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.2;8.3;2.2;0.15625;0.256410256
a1985;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;5.5;10.6;2.5;0.149253731;0.25
a1986;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;3.1;4;2;0.166666667;0.238095238
a1987;pDinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;pDinosaur Park;this study;3.7;8.9;2.5;0.163934426;0.3125
a1988;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.5;;3.3;;0.307692308
a1989;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6;;2.4;;0.333333333
a1990;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.2;;2.7;;0.285714286
a1991;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;Sankey et al. 2002;6.5;;3.4;;0.285714286
a1992;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;this study;6.7;10.9;2.6;0.212765957;0.333333333
a1993;pDinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;pDinosaur Park;this study;7.3;12.6;3.5;;0.333333333
a1994;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;4;11.5;2;0;0
a1995;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;2.1;;1.7;0;0
a1996;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;4.4;;2.2;0;0
a1997;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;3.3;;1.6;0;0
a1998;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;4.3;;1.7;0;0
a1999;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;2.8;;1.1;0;0
a2000;Dinosaur Park Paronychodon lacustris a;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;3.7;;1.9;0;0
a2001;Dinosaur Park Paronychodon lacustris b;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;2.9;5.1;1.7;0;0
a2002;Dinosaur Park Paronychodon lacustris b;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;2.9;5.2;1;0;0
a2003;Dinosaur Park Paronychodon lacustris b;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;1.9;3.1;1.9;0;0
a2004;Dinosaur Park Paronychodon lacustris b;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;1.8;;0.7;0;0
a2005;Dinosaur Park Paronychodon lacustris b;Judithian;Paronychodon;Dinosaur Park;Sankey et al. 2002;3;;0.7;0;0
a2006;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;4.7;12.3;2.3;;0.19047619
a2007;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.5;5.5;1.5;0;0.142857143
a2008;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;4;10;1.7;;0.142857143
a2009;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.9;5.3;1;;0.142857143
a2010;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.8;5.2;0.9;0;0.142857143
a2011;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.7;4;0.7;;0.105263158
a2012;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Longrich 2008;3.41;4.92;1.29921;0.1306;0.151
a2013;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Longrich 2008;3.141;6.13;1.501398;;0.142
a2014;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Longrich 2008;2.87;3.35;1.21401;0.114;0.1368
a2015;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;1.64;2.08;0.7;0;0.108695652
a2016;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;2.739;4.067;1.02;0;0.131578947
a2017;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;2.52;3.48;1.02;0;0.128205128
a2018;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;3.32;4.814;1.34;0.133333333;0.161290323
a2019;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;4.067;4.814;1.78;0;0.161290323
a2020;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;2.48;2.72;1.16;0.117647059;0.133333333
a2021;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;4.067;5.727;1.96;0.135135135;0.166666667
a2022;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;4.482;8.16;2.44;0;0.169491525
a2023;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Park 2000;4;6;1.8;0.166666667;0.2
a2024;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Park 2000;4.7;9.5;2.5;;0.2
a2025;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.8;10;2;;0.142857143
a2026;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Farlow et al. 1991;5.8;;;0.166;0.1922
a2027;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Farlow et al. 1991;6.5;;;0.147058824;0.208333333
a2028;Dinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Farlow et al. 1991;3.9;;1.7;0.1;0.1538
a2029;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;4.5;11;2.1;0;0.166666667
a2030;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.3;5.8;1.1;0;0.117647059
a2031;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.08;3.8;1.1;0.106382979;0.114942529
a2032;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.3;5.5;1.2;0;0.1
a2033;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.7;9.5;1.7;;0.142857143
a2034;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.905;6.225;1.6;0;0.144927536
a2035;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.1;9.7;1.5;;0.142857143
a2036;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.4;3.3;0.8;0;0.1
a2037;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2;2.7;0.7;0;0.083333333
a2038;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2;3.7;1;0;0.083333333
a2039;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.8;2.3;0.7;0;0.083333333
a2040;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.2;3.3;0.8;0;0.083333333
a2041;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.4;2.4;0.6;;0.083333333
a2042;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.9;2.5;0.7;;0.083333333
a2043;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;3.486;6.972;1.62;0.1;0.15625
a2044;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;3.984;7.802;1.68;0.108695652;0.166666667
a2045;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;2.988;5.478;1.54;0;0.125
a2046;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;2.21;4.8;1.15583;0;0.108
a2047;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;2.16;5.395;1;0.114942529;0.104166667
a2048;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;1.4;2.48;0.68;0;0.083333333
a2049;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;3.154;8.16;1.6;0.108695652;0.151515152
a2050;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;4.233;7.84;1.9;0.1;0.158730159
a2051;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.5;;1.2;;0.125
a2052;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.5;;1.7;;0.142857143
a2053;Dinosaur Park Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.2;;1;;0.105263158
a2054;Dinosaur Park Saurornitholestes;Judithian;Richardoestesia;pDinosaur Park;Farlow et al. 1991;5;;;0.166666667;0.192307692
a2055;Dinosaur Park Saurornitholestes;Judithian;Richardoestesia;pDinosaur Park;Farlow et al. 1991;5.7;;;0.142857143;0.192307692
a2056;Oldman (southern Upper Unit) cf. Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;4.3;8.2;2.1;0;0.175438596
a2057;Oldman (southern Upper Unit) cf. Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;4.24;12.32;1.92;0.125;0.147058824
a2058;Oldman (southern Upper Unit) Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.9;7.5;3;;0.166666667
a2059;Oldman (southern Upper Unit) Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.8;3.1;0.7;0;0.142857143
a2060;Oldman (southern Upper Unit) Richardoestesia gilmorei;Judithian;Richardoestesia;Dinosaur Park;this study;2.905;5.727;1.4;0;0.149253731
a2061;Oldman (southern Upper Unit) Richardoestesia gilmorei pmx;Judithian;Richardoestesia;Dinosaur Park;this study;2.739;5.81;1.6;0;0.172413793
a2062;Oldman (southern Upper Unit) Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.5;5;1.3;0;0.125
a2063;Oldman (southern Upper Unit) Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;3.6;12.5;1.7;;0.166666667
a2064;Oldman (southern Upper Unit) Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;2.573;5.478;1.32;0;0.128205128
a2065;Oldman (southern Upper Unit) Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;this study;1.48;2.56;0.8;0;0.072992701
a2066;Oldman (southern Upper Unit) Richardoestesia isosceles;Judithian;Richardoestesia;Dinosaur Park;Sankey et al. 2002;1.7;;0.7;0;
a2067;pDinosaur Park cf. Richardoestesia isosceles;Judithian;Richardoestesia;pDinosaur Park;this study;;;1.6;0.149253731;0.2
a2068;pDinosaur Park Richardoestesia;Judithian;Richardoestesia;pDinosaur Park;Farlow et al. 1991;4.1;;;0.142857143;0.153846154
a2069;pDinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;pDinosaur Park;Sankey et al. 2002;2.9;;1.2;;0.117647059
a2070;pDinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;pDinosaur Park;Sankey et al. 2002;4.3;;1.8;;0.166666667
a2071;pDinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;pDinosaur Park;this study;5.2;7.2;2.6;0.138888889;0.161290323
a2072;pDinosaur Park Richardoestesia gilmorei;Judithian;Richardoestesia;pDinosaur Park;this study;4.9;10.6;2.7;0;0.175438596
a2073;Dinosaur Park cf. Pectinodon bakkeri;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;2.8;5.5;1.2;0;0.5
a2074;Dinosaur Park cf. Pectinodon bakkeri;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;3.1;5.2;1.2;0;0.666666667
a2075;Dinosaur Park cf. Pectinodon bakkeri;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;2.4;3.3;0.9;0;0.5
a2076;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Larson and Currie 2013;4.7;6;2;0;0.416666667
a2077;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.2;9;;0.666666667;0.666666667
a2078;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5;7;;0.704225352;0.617283951
a2079;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.2;9;;0.666666667;0.602409639
a2080;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.7;8;;0.704225352;0.735294118
a2081;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;4.8;9;;0.649350649;0.602409639
a2082;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.1;8;;0.531914894;0.515463918
a2083;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;4.3;8;;0.925925926;0.704225352
a2084;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.9;8;;0.537634409;0.602409639
a2085;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Farlow et al. 1991;5.6;8;;0.46728972;0.531914894
a2086;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.512;6.67;2.219904;0.4152;0.446
a2087;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.96;8.61;2.5544;0.5;0.564
a2088;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;5.35;8.01;2.64825;;0.462
a2089;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.99;6.92;2.81436;0.543478261;0.5
a2090;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;2.97;3.89;1.53252;;0.296
a2091;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;3.26;4.55;1.78648;;0.485
a2092;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.88;6.56;2.318;;0.474
a2093;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;5.91;8.36;2.72451;0.38;0.444
a2094;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.01;4.16;1.99297;;0.505050505
a2095;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;3.31;4.57;1.6881;;0.412
a2096;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;3.39;4.48;1.8306;0.426;0.464
a2097;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;5.21;8.76;2.43828;0.44;0.51
a2098;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;2.86;3.56;1.24696;;0.31
a2099;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;3.62;3.33;1.72674;;0.338
a2100;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;5.02;7.44;2.41964;0.33;0.394
a2101;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;4.29;6.5;2.73273;0.71;0.612
a2102;Dinosaur Park Troodon formosus;Judithian;Troodontidae;Dinosaur Park;Longrich 2008;5.85;10.38;3.32865;0.412;0.52
